Lazy,Over,six,Cochabamba,El_Alto,La_Paz,Oruro,Santa_Cruz,Shocks,Manufacture,Commerce,Services,Individual,Consumption,Groups,Village,Others,Loan_Term,Lenders,Years_with_new_loans,First_timer,Cohort_1997,Cohort_1998,Cohort_1999,Cohort_2000,Default_First,Number_Potential_Workers,Age_Main_Income_Source,Education_Average,Diversification,Savings,Migrants,Female_Main_Person,Commercial,Assets,cruzados,Shocks_97,Shocks_98,Shocks_99,Shocks_00,Shocks_01,cuest
0.0,1.0,B,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3.0,2,3,0,1,0,0,0,1,7,47.5,8.6,2.75,0,0.0,0,0,1.2437592,0,1,1,1,1,1,26
0.0,1.0,B,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.0,2,5,0,1,0,0,0,0,7,47.5,8.6,3.5,0,0.0,0,0,1.2437592,0,1,1,1,1,1,26
0.0,1.0,C,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.0,1,1,1,0,0,1,0,0,2,24.0,14.0,0.5,0,0.0,0,0,0.4952276,0,0,0,0,1,1,27
0.0,1.0,B,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.0,1,2,0,0,0,0,1,0,4,38.0,9.333333,2.125,0,0.0,0,0,1.7409691,0,0,0,0,0,0,28
0.0,1.0,C,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.25,3,1,1,0,1,0,0,0,4,43.0,6.5,2.375,0,0.0,0,0,0.1688693,0,0,0,0,0,0,30
0.0,1.0,C,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.25,3,1,1,0,0,1,0,0,4,43.0,6.5,2.5,0,0.0,0,0,0.1688693,0,0,0,1,0,0,30
0.0,1.0,C,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2.0,3,1,1,1,0,0,0,0,4,43.0,6.5,2.25,0,0.0,0,0,0.1688693,1,0,0,1,0,0,30
0.0,1.0,C,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2.0,3,1,1,1,0,0,0,0,4,43.0,6.5,2.25,0,0.0,0,0,0.1688693,1,0,0,1,0,0,30
1.0,1.0,D,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3.0,3,1,1,1,0,0,0,0,5,46.0,10.75,1.25,0,0.0,1,0,0.080763586,1,1,1,1,1,0,3
0.0,1.0,B,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.5,1,1,1,0,1,0,0,0,3,24.0,8.666667,2.5,0,0.0,0,0,1.5954479,0,0,0,0,0,0,32
0.0,1.0,B,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.25,1,1,1,0,1,0,0,0,4,52.0,10.5,2.125,0,0.0,0,0,2.4185758,0,0,0,0,0,0,33
0.0,1.0,B,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.0,3,1,1,0,0,0,1,0,7,53.0,10.6,1.25,0,0.0,1,0,0.107195295,0,0,0,0,1,1,34
0.0,1.0,B,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2.0,3,1,0,0,0,0,1,0,7,53.0,10.6,1.25,0,0.0,1,0,0.107195295,0,0,0,0,1,1,34
0.0,1.0,B,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.0,3,1,0,0,0,1,0,0,7,53.0,10.6,1.125,0,0.0,1,0,0.107195295,0,0,0,0,1,0,34
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3.0,2,2,0,0,0,1,0,0,2,30.0,14.0,2.0,1,0.0,1,0,2.7612922,0,0,0,0,0,1,35
,,F,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0.8333333,1,1,1,0,0,1,0,0,2,72.0,12.0,1.0,0,0.0,0,0,0.06167401,0,0,0,0,1,0,36
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,2,3,0,0,0,1,0,0,2,33.0,12.0,2.0,1,0.0,0,0,1.0403377,0,0,0,1,1,1,37
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,2,5,0,1,0,0,0,1,2,33.0,12.0,2.0,1,0.0,0,0,1.0403377,0,0,0,1,1,1,37
0.0,1.0,B,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5,1,1,1,0,1,0,0,0,7,45.0,9.166667,2.0,0,0.0,0,1,4.0173273,0,0,0,0,0,0,38
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.0,1,2,0,0,0,1,0,0,2,35.0,13.0,2.0,1,0.0,1,1,0.086637296,0,0,0,1,1,1,39
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.0,3,1,0,1,0,0,0,0,1,30.0,5.0,1.5,1,0.0,1,1,0.095447876,0,0,1,0,0,0,40
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1.0,3,1,1,1,0,0,0,0,1,30.0,5.0,1.5,1,0.0,1,1,0.095447876,0,0,1,0,0,0,40
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,3,1,1,1,0,0,0,0,1,30.0,5.0,1.5,1,0.0,1,1,0.095447876,1,0,1,0,0,0,40
1.0,1.0,D,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.5,1,1,1,0,0,0,1,0,2,34.0,12.0,2.0,1,0.0,0,0,0.9216593,0,0,0,0,1,0,41
0.0,1.0,B,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.5,1,1,1,0,0,1,0,0,2,29.0,6.5,2.0,1,0.0,0,1,0.052863438,0,0,0,0,0,0,44
,0.0,A,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.25,1,1,1,0,0,0,0,0,1,55.0,7.0,1.0,0,0.0,1,0,0.25565344,0,0,0,0,0,1,45
0.0,1.0,B,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.5,2,1,1,0,0,1,0,1,5,53.0,16.0,2.5,0,0.0,0,0,0.13076358,0,0,0,0,0,0,46
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3.0,1,1,0,0,0,1,0,0,3,41.0,12.0,1.0,0,0.0,0,0,0.23348019,0,0,0,1,1,1,47
0.0,1.0,B,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.5,1,2,0,0,1,0,0,0,2,28.0,14.0,2.0,1,0.0,1,0,1.162188,0,0,0,0,0,1,48
0.0,1.0,C,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0,2,1,1,0,0,1,0,1,4,43.0,9.333333,1.125,0,1.0,0,0,2.0422907,0,0,0,1,1,0,49
0.0,1.0,C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2.0,2,1,1,0,0,0,1,0,4,43.0,9.333333,1.25,0,1.0,0,0,2.0422907,0,0,0,0,1,1,49
,,F,0,0,1,0,0,1,0,1,0,0,0,1,0,0,3.0,1,3,0,1,0,0,0,0,3,26.0,7.5,2.0,1,0.0,1,0,5.9986343,0,0,1,0,1,1,50
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.0,3,1,1,0,0,1,0,0,4,33.0,6.5,1.0,0,0.0,1,0,0.15418503,0,0,0,1,1,0,51
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.6666667,3,1,1,0,0,1,0,0,4,33.0,6.5,1.0,0,0.0,1,0,0.15418503,0,0,0,1,0,0,51
